[2026-09-17 18:13:09] ================================================================================
[2026-09-17 18:13:09] CPU TRAINING STARTED
[2026-09-17 18:13:09] Python executable: E:\MMdetection\.venv\Scripts\python.exe
[2026-09-17 18:13:09] Config file: E:\MMDetection_2\configs\packdet_rtmdet_ins.py
[2026-09-17 18:13:09] Work directory: E:\MMDetection_2\work_dirs\packdet_rtmdet_ins_cpu
[2026-09-17 18:13:09] Training command: E:\MMdetection\.venv\Scripts\python.exe E:\MMDetection_2\mmdetection\tools\train.py E:\MMDetection_2\configs\packdet_rtmdet_ins.py --work-dir E:\MMDetection_2\work_dirs\packdet_rtmdet_ins_cpu
[2026-09-17 18:13:09] ================================================================================
[2026-09-17 18:14:14] Elapsed: 1.07 min | System CPU: 53.2% | System RAM: 78.6% (12.36/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1440.08 MB
[2026-09-17 18:14:16] Elapsed: 1.10 min | System CPU: 55.4% | System RAM: 78.7% (12.39/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1439.98 MB
[2026-09-17 18:14:18] Elapsed: 1.15 min | System CPU: 57.7% | System RAM: 78.9% (12.42/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1423.47 MB
[2026-09-17 18:14:20] Elapsed: 1.18 min | System CPU: 56.2% | System RAM: 78.7% (12.38/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1425.90 MB
[2026-09-17 18:14:22] Elapsed: 1.22 min | System CPU: 57.2% | System RAM: 78.8% (12.39/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1427.19 MB
[2026-09-17 18:14:24] Elapsed: 1.25 min | System CPU: 64.6% | System RAM: 80.5% (12.67/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1705.86 MB
[2026-09-17 18:14:26] Elapsed: 1.28 min | System CPU: 61.7% | System RAM: 78.7% (12.38/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1433.50 MB
[2026-09-17 18:14:28] Elapsed: 1.32 min | System CPU: 57.3% | System RAM: 78.7% (12.38/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1438.45 MB
[2026-09-17 18:14:30] Elapsed: 1.35 min | System CPU: 53.5% | System RAM: 78.6% (12.37/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1435.18 MB
[2026-09-17 18:14:32] Elapsed: 1.38 min | System CPU: 52.5% | System RAM: 78.6% (12.36/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1435.24 MB
[2026-09-17 18:14:34] Elapsed: 1.42 min | System CPU: 57.9% | System RAM: 79.3% (12.48/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1536.48 MB
[2026-09-17 18:14:36] Elapsed: 1.45 min | System CPU: 54.6% | System RAM: 78.7% (12.39/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1440.86 MB
[2026-09-17 18:14:38] Elapsed: 1.48 min | System CPU: 57.1% | System RAM: 78.8% (12.40/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1437.29 MB
[2026-09-17 18:14:40] Elapsed: 1.52 min | System CPU: 59.7% | System RAM: 79.0% (12.42/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1438.96 MB
[2026-09-17 18:14:42] Elapsed: 1.55 min | System CPU: 59.5% | System RAM: 79.1% (12.44/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1438.35 MB
[2026-09-17 18:14:44] Elapsed: 1.58 min | System CPU: 53.9% | System RAM: 79.0% (12.43/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1436.16 MB
[2026-09-17 18:14:46] Elapsed: 1.62 min | System CPU: 54.2% | System RAM: 79.1% (12.44/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1438.59 MB
[2026-09-17 18:14:48] Elapsed: 1.65 min | System CPU: 58.3% | System RAM: 78.9% (12.42/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1436.87 MB
[2026-09-17 18:14:50] Elapsed: 1.68 min | System CPU: 53.6% | System RAM: 78.9% (12.41/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1435.55 MB
[2026-09-17 18:14:52] Elapsed: 1.72 min | System CPU: 56.2% | System RAM: 79.8% (12.56/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1600.76 MB
[2026-09-17 18:14:54] Elapsed: 1.75 min | System CPU: 57.0% | System RAM: 78.8% (12.39/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1437.99 MB
[2026-09-17 18:14:56] Elapsed: 1.78 min | System CPU: 58.6% | System RAM: 78.7% (12.38/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1437.68 MB
